Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Spoofs Images,Hide image?,Spoof Category,Caption,Featured?,Author Credit
100 Seconds to Midnight,100-seconds-to-midnight,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042afa0,false,false,Fri Jul 30 2021 18:19:29 GMT+0000 (Coordinated Universal Time),Fri Aug 20 2021 21:29:19 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/610442ac85f282532db9406e_100-seconds-midnight-Watch_600x750.jpg,false,PSYCHO,,false,
1000 years,1000-years,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae39,false,false,Sat Jan 09 2021 00:10:23 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:10:23 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f4623da762b36b7c3e88_dysmal_science_1_600px.jpg,false,ECOLOGICAL,,false,
52% Fat,52-fat,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae63,false,false,Sat Jan 09 2021 00:25:28 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:25:28 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f7f09299974ee17596d2_food_fight_3_600px.jpg,false,CORPO,,false,
Absolut Coma.,absolut-coma,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae1e,false,false,Fri Jan 08 2021 23:47:56 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:04:40 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8ef2075a5c1c60530e4dd_absolut_impotence_7.jpg,false,CORPO,,false,
Absolut Impotence Vodka,absolut-impotence-vodka,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae18,false,false,Fri Jan 08 2021 23:44:25 GMT+0000 (Coordinated Universal Time),Fri Jan 08 2021 23:53:30 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f070c98da98541038d2c_absolut_impotence_1_600px.jpg,false,CORPO,,false,
Absolut Moron,absolut-moron,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae1a,false,false,Fri Jan 08 2021 23:46:08 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:03:53 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8eeb71cf9a0a70cde5b1f_absolut_impotence_3.jpg,false,CORPO,,false,
Absolute AA,absolute-aa,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae1f,false,false,Fri Jan 08 2021 23:48:17 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:04:58 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f328b9e23243eac2e809_absolut_impotence_8_600px.jpg,false,CORPO,,false,
Absolute End.,absolute-end,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae1d,false,false,Fri Jan 08 2021 23:47:35 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:04:29 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8ef0f8efa2b4570991fe1_absolut_impotence_6.jpg,false,CORPO,,false,
Absolute Hangover,absolute-hangover,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae1c,false,false,Fri Jan 08 2021 23:47:16 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:04:19 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8eef9eb709cc6fb1e1f7c_absolut_impotence_5.jpg,false,CORPO,,false,
Absolute Mayhem,absolute-mayhem,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae1b,false,false,Fri Jan 08 2021 23:46:54 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 20:43:35 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f2f57fde0336826a0e9f_absolut_impotence_4_600px.jpg,false,CORPO,"""Capitalists will sell us the rope we hang them with""",false,
